ROW	ID_TASK	ID_WORKER	TASK_RATING	FINISHED	IP	COUNTRY_CODE
1	13823579	67e0b65d	OK	2014-03-14 16:58:53	82.137.14.30	RO
2	13823515	2e31a2fa	OK	2014-03-14 16:57:35	79.112.18.71	RO
3	13823513	24feba66	OK	2014-03-14 16:57:33	119.30.38.98	BD
4	13823492	82451154	OK	2014-03-14 16:57:04	103.242.217.254	UNKNOWN
5	13823479	e4e60c61	OK	2014-03-14 16:56:50	114.130.65.18	BD
6	13823476	be484615	OK	2014-03-14 16:56:48	188.25.111.104	RO
7	13823329	6b4d6837	OK	2014-03-14 16:53:34	180.149.31.156	BD
8	13823295	15bc2c40	OK	2014-03-14 16:53:01	27.107.203.33	IN
9	13823249	d25f5d6e	OK	2014-03-14 16:52:06	180.149.8.155	BD
10	13823191	d8298f91	OK	2014-03-14 16:50:38	188.24.184.231	RO
11	13823176	ecd4e046	OK	2014-03-14 16:50:24	117.213.1.153	IN
12	13823165	2e566e68	OK	2014-03-14 16:50:14	82.137.12.12	RO
13	13823149	7285f9c9	OK	2014-03-14 16:50:00	77.29.62.170	MK
14	13823142	e65feead	OK	2014-03-14 16:49:52	180.149.31.109	BD
15	13823123	0fcec899	OK	2014-03-14 16:49:28	180.149.7.253	BD
16	13823122	235a16f9	OK	2014-03-14 16:49:24	58.97.227.152	BD
17	13823120	95ac359b	OK	2014-03-14 16:49:23	67.213.218.74	US
18	13823111	18b16b72	OK	2014-03-14 16:49:16	87.114.205.160	UK
19	13823092	87a3b0e9	OK	2014-03-14 16:48:43	37.221.173.232	US
20	13823090	4dad7572	OK	2014-03-14 16:48:41	79.116.255.79	RO
21	13823056	02ec84ed	OK	2014-03-14 16:47:57	58.97.204.140	BD
22	13823054	daed1cf8	OK	2014-03-14 16:47:49	49.203.60.167	IN
23	13823023	a318ce0d	OK	2014-03-14 16:47:06	180.149.31.165	BD
24	13823001	d4413808	OK	2014-03-14 16:46:43	27.34.85.14	NP
25	13822957	ee5ef26c	OK	2014-03-14 16:46:00	180.234.17.231	BD
26	13822945	fa874bb1	OK	2014-03-14 16:45:50	49.236.214.52	NP
27	13822862	aaeef5a6	OK	2014-03-14 16:44:42	91.196.15.241	PL
28	13822852	69c66858	OK	2014-03-14 16:44:35	79.116.224.47	RO
29	13822784	a2a57ea3	OK	2014-03-14 16:43:34	58.97.225.239	BD
30	13822770	81e751a0	OK	2014-03-14 16:43:23	180.149.24.99	BD
